"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Damian Lillard",187.96,66,30,4.3,8,1.4,"2019-20"
"Damian Jones",210.82,55,5.6,3.7,0.6,-12.6,"2019-20"
"DaQuan Jeffries",195.58,13,3.8,1.4,0.5,3,"2019-20"
"D.J. Wilson",208.28,37,3.6,2.5,0.7,-6.3,"2019-20"
"D.J. Augustin",180.34,57,10.5,2.1,4.6,1.5,"2019-20"
"D'Angelo Russell",193.04,45,23.1,3.9,6.3,-8.1,"2019-20"
"Cristiano Felicio",208.28,22,3.9,4.6,0.7,-7.7,"2019-20"
"Courtney Lee",195.58,24,4.5,1.3,0.5,6.7,"2019-20"
"Cory Joseph",190.5,72,6.4,2.6,3.5,-0.3,"2019-20"
"Corey Brewer",205.74,5,1,1.6,0.4,11.2,"2019-20"
"Danuel House Jr.",198.12,63,10.5,4.2,1.3,3.3,"2019-20"
"Evan Turner",198.12,19,3.3,2,2,-11.4,"2019-20"
"Dario Saric",208.28,66,10.7,6.2,1.9,-1.2,"2019-20"
"Darius Garland",185.42,59,12.3,1.9,3.9,-8.7,"2019-20"
"Denzel Valentine",193.04,36,6.8,2.1,1.2,-5,"2019-20"
"Dennis Smith Jr.",187.96,34,5.5,2.3,2.9,-17.1,"2019-20"
"Dennis Schroder",185.42,65,18.9,3.6,4,5.5,"2019-20"
"Delon Wright",195.58,73,6.9,3.8,3.3,1.7,"2019-20"
"Dejounte Murray",193.04,66,10.9,5.8,4.1,-4.2,"2019-20"
"Deandre Ayton",210.82,38,18.2,11.5,1.9,4,"2019-20"
"Dean Wade",205.74,12,1.7,1.6,0.2,-6.5,"2019-20"
"DeMarre Carroll",198.12,24,3.6,2.3,1,0,"2019-20"
"DeMar DeRozan",198.12,68,22.1,5.5,5.6,-1.8,"2019-20"
"DeAndre' Bembry",195.58,43,5.8,3.5,1.9,-11.8,"2019-20"
"DeAndre Jordan",210.82,56,8.3,10,1.9,-1.8,"2019-20"
"De'Anthony Melton",187.96,60,7.6,3.7,2.9,5.1,"2019-20"
"De'Andre Hunter",200.66,63,12.3,4.5,1.8,-5.5,"2019-20"
"De'Aaron Fox",190.5,51,21.1,3.8,6.8,-4,"2019-20"
"Davis Bertans",208.28,54,15.4,4.5,1.7,-0.3,"2019-20"
"David Nwaba",195.58,20,5.2,2.3,0.4,7.2,"2019-20"
"Daryl Macon",187.96,4,0.8,0,0.3,7.6,"2019-20"
"Darius Bazley",203.2,61,5.6,4,0.7,-3.2,"2019-20"
"LeBron James",205.74,67,25.3,7.8,10.2,8.5,"2019-20"
"Michael Kidd-Gilchrist",198.12,25,2.4,2.7,0.6,4.2,"2019-20"
"Lonzo Ball",198.12,63,11.8,6.1,7,-0.7,"2019-20"
"Stephen Curry",190.5,5,20.8,5.2,6.6,-15.3,"2019-20"
"Sterling Brown",195.58,52,5.1,3.5,1,2.4,"2019-20"
"Steven Adams",210.82,63,10.9,9.3,2.3,4.4,"2019-20"
"Svi Mykhailiuk",200.66,56,9,1.9,1.9,-0.6,"2019-20"
"T.J. Leaf",208.28,28,3,2.5,0.3,0.2,"2019-20"
"T.J. McConnell",185.42,71,6.5,2.7,5,1.1,"2019-20"
"T.J. Warren",203.2,67,19.8,4.2,1.5,2.7,"2019-20"
"Tacko Fall",226.06,7,3.3,2.1,0.1,12.7,"2019-20"
"Taj Gibson",205.74,62,6.1,4.3,0.8,-12.5,"2019-20"
"Talen Horton-Tucker",193.04,6,5.7,1.2,1,-9.5,"2019-20"
"Tariq Owens",208.28,3,1.3,1,0,-43.4,"2019-20"
"Taurean Prince",200.66,64,12.1,6,1.8,1.3,"2019-20"
"Terance Mann",195.58,41,2.4,1.3,1.3,0.1,"2019-20"
"Terence Davis",193.04,72,7.5,3.3,1.6,7.9,"2019-20"
"Terrance Ferguson",198.12,56,3.9,1.3,0.9,-4,"2019-20"
"Terrence Ross",198.12,69,14.7,3.2,1.2,-2.5,"2019-20"
"Terry Rozier",185.42,63,18,4.4,4.1,-9,"2019-20"
"Thabo Sefolosha",198.12,41,2.2,2.3,0.6,3.9,"2019-20"
"Thaddeus Young",203.2,64,10.3,4.9,1.8,-6.2,"2019-20"
"Thanasis Antetokounmpo",198.12,20,2.8,1.2,0.8,-6.8,"2019-20"
"Theo Pinson",195.58,33,3.6,1.6,1.7,-4.6,"2019-20"
"Stanton Kidd",198.12,4,0,0.8,0.3,2.3,"2019-20"
"Thomas Bryant",208.28,46,13.2,7.2,1.8,-6.6,"2019-20"
"Stanley Johnson",198.12,25,2.4,1.5,0.8,4.8,"2019-20"
"Solomon Hill",198.12,59,5.5,2.8,1.8,-2.1,"2019-20"
"Romeo Langford",193.04,32,2.5,1.3,0.4,8.9,"2019-20"
"Rondae Hollis-Jefferson",198.12,60,7,4.7,1.8,4.2,"2019-20"
"Royce O'Neale",193.04,71,6.3,5.5,2.5,5.2,"2019-20"
"Rudy Gay",203.2,67,10.8,5.4,1.7,0.2,"2019-20"
"Rudy Gobert",215.9,68,15.1,13.5,1.5,6.2,"2019-20"
"Rui Hachimura",203.2,48,13.5,6.1,1.8,-8.2,"2019-20"
"Russell Westbrook",190.5,57,27.2,7.9,7,3.1,"2019-20"
