"player_name","player_height","gp","pts","reb","ast","net_rating","season"
"Zoran Planinic",200.66,56,3.4,1.3,0.9,-4.5,"2005-06"
"Vladimir Radmanovic",208.28,77,9.8,4.6,1.8,-2.9,"2005-06"
"Zydrunas Ilgauskas",220.98,78,15.6,7.6,1.2,3.8,"2005-06"
"John Lucas III",180.34,13,2.3,0.4,0.9,-9.7,"2005-06"
"John Edwards",213.36,40,1.8,1.2,0.1,-12.7,"2005-06"
"Johan Petro",213.36,68,5.2,4.4,0.2,-6.3,"2005-06"
"Joey Graham",200.66,80,6.7,3.1,0.8,-4.5,"2005-06"
"Joel Przybilla",215.9,56,6.1,7,0.8,-10,"2005-06"
"Joe Smith",208.28,44,8.6,5.2,0.7,-0.8,"2005-06"
"Joe Johnson",200.66,82,20.2,4.1,6.5,-5.3,"2005-06"
"Jiri Welsch",200.66,58,4.3,1.9,1.1,-10.9,"2005-06"
"Jim Jackson",198.12,40,3,1.9,0.9,1.1,"2005-06"
"Jerry Stackhouse",198.12,55,13,2.8,2.9,3.3,"2005-06"
"Jerome James",215.9,44,3.1,2.1,0.3,-19,"2005-06"
"Jermaine O'Neal",210.82,51,20.1,9.3,2.6,2.3,"2005-06"
"Jermaine Jackson",195.58,30,1.2,0.9,0.8,-24.2,"2005-06"
"Jeff McInnis",193.04,28,5.3,1.8,1.9,-16.2,"2005-06"
"John Salmons",198.12,82,7.5,2.7,2.7,-4.1,"2005-06"
"Robert Whaley",208.28,23,2.1,1.9,0.7,-12.6,"2005-06"
"LeBron James",203.2,79,31.4,7,6.6,4.2,"2005-06"
"Robert Horry",208.28,63,5.1,3.8,1.3,11,"2005-06"
"Luke Walton",203.2,69,5,3.6,2.3,3.3,"2005-06"
"Luke Schenscher",215.9,20,1.8,1.5,0.4,0,"2005-06"
"Luke Ridnour",185.42,79,11.5,3,7,-5.2,"2005-06"
"Luke Jackson",200.66,36,2.7,1.1,0.7,-6,"2005-06"
"Lou Williams",185.42,30,1.9,0.6,0.3,-6.5,"2005-06"
"Lorenzen Wright",210.82,78,5.8,5.1,0.6,3.9,"2005-06"
"Luol Deng",205.74,78,14.3,6.6,1.9,2.5,"2005-06"
"Loren Woods",218.44,27,2.3,4.1,0.1,-0.5,"2005-06"
"Linton Johnson",203.2,36,4.3,3.4,0.4,-4.2,"2005-06"
"Lindsey Hunter",187.96,30,2.9,1.3,2.1,4.9,"2005-06"
"Linas Kleiza",203.2,61,3.5,1.9,0.2,-2.2,"2005-06"
"Lee Nailon",205.74,22,4.2,1.9,0.3,1.7,"2005-06"
"Leandro Barbosa",190.5,57,13.1,2.6,2.8,3.5,"2005-06"
"Lawrence Roberts",205.74,33,1.5,1.5,0.2,1.1,"2005-06"
"Lonny Baxter",203.2,41,2.9,2.9,0.1,2,"2005-06"
"Larry Hughes",195.58,36,15.5,4.5,3.6,2.1,"2005-06"
